company_id,metric_type,period_years,value_pct
1,Sales Growth,5,20.97
1,Profit Growth,5,23.88
1,ROE,5,19.78
2,Sales Growth,5,17.24
2,Profit Growth,5,21.46
2,ROE,5,21.87
3,Sales Growth,5,11.29
3,Profit Growth,5,15.83
3,ROE,5,40.96
4,Sales Growth,5,15.88
4,Profit Growth,5,16.29
4,ROE,5,10.95
5,Sales Growth,5,15.07
5,Profit Growth,5,22.38
5,ROE,5,133.36
6,Sales Growth,5,20.88
6,Profit Growth,5,20.98
6,ROE,5,11.73
7,Sales Growth,5,16.15
7,Profit Growth,5,15.04
7,ROE,5,18.53
8,Sales Growth,5,8.76
8,Profit Growth,5,13.02
8,ROE,5,12.67
9,Sales Growth,5,12.64
9,Profit Growth,5,13.48
9,ROE,5,26.73
10,Sales Growth,5,10.57
10,Profit Growth,5,23.31
10,ROE,5,4.97
11,Sales Growth,5,20.94
11,Profit Growth,5,18.6
11,ROE,5,15.38
12,Sales Growth,5,16.68
12,Profit Growth,5,23.99
12,ROE,5,59.1
13,Sales Growth,5,10.22
13,Profit Growth,5,19.2
13,ROE,5,14.88
14,Sales Growth,5,21.29
14,Profit Growth,5,17.62
14,ROE,5,59.57
15,Sales Growth,5,9.67
15,Profit Growth,5,10.89
15,ROE,5,15.59
16,Sales Growth,5,14.68
16,Profit Growth,5,24.81
16,ROE,5,43.99
17,Sales Growth,5,8.38
17,Profit Growth,5,23.0
17,ROE,5,36.61
18,Sales Growth,5,8.22
18,Profit Growth,5,21.97
18,ROE,5,41.27
19,Sales Growth,5,14.86
19,Profit Growth,5,23.27
19,ROE,5,25.22
20,Sales Growth,5,15.8
20,Profit Growth,5,12.98
20,ROE,5,177.97
21,Sales Growth,5,15.24
21,Profit Growth,5,11.06
21,ROE,5,21.59
22,Sales Growth,5,10.29
22,Profit Growth,5,12.05
22,ROE,5,27.12
23,Sales Growth,5,19.67
23,Profit Growth,5,18.69
23,ROE,5,83.18
24,Sales Growth,5,11.58
24,Profit Growth,5,19.73
24,ROE,5,65.75
25,Sales Growth,5,15.6
25,Profit Growth,5,14.7
25,ROE,5,27.4
26,Sales Growth,5,20.14
26,Profit Growth,5,21.42
26,ROE,5,5.82
27,Sales Growth,5,19.51
27,Profit Growth,5,22.92
27,ROE,5,62.41
28,Sales Growth,5,8.94
28,Profit Growth,5,12.97
28,ROE,5,73.27
29,Sales Growth,5,11.08
29,Profit Growth,5,10.48
29,ROE,5,20.5
30,Sales Growth,5,16.38
30,Profit Growth,5,16.42
30,ROE,5,9.6
31,Sales Growth,5,21.29
31,Profit Growth,5,18.04
31,ROE,5,48.55
32,Sales Growth,5,8.87
32,Profit Growth,5,15.1
32,ROE,5,92.26
33,Sales Growth,5,19.53
33,Profit Growth,5,15.25
33,ROE,5,32.19
34,Sales Growth,5,17.59
34,Profit Growth,5,24.92
34,ROE,5,14.27
35,Sales Growth,5,15.93
35,Profit Growth,5,22.65
35,ROE,5,20.11
36,Sales Growth,5,15.5
36,Profit Growth,5,18.34
36,ROE,5,15.61
37,Sales Growth,5,20.83
37,Profit Growth,5,10.23
37,ROE,5,19.94
38,Sales Growth,5,18.69
38,Profit Growth,5,14.74
38,ROE,5,10.56
39,Sales Growth,5,13.46
39,Profit Growth,5,20.91
39,ROE,5,119.26
40,Sales Growth,5,17.87
40,Profit Growth,5,16.72
40,ROE,5,21.82
41,Sales Growth,5,9.88
41,Profit Growth,5,16.1
41,ROE,5,70.0
42,Sales Growth,5,14.22
42,Profit Growth,5,10.33
