company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
1,2012,+,-,-,Reinvestor
1,2013,+,-,-,Shareholder Returns
1,2014,+,-,-,Reinvestor
1,2015,+,-,-,Reinvestor
1,2016,+,-,-,Shareholder Returns
1,2017,+,-,-,Reinvestor
1,2018,+,-,-,Reinvestor
1,2019,+,-,-,Shareholder Returns
1,2020,+,-,-,Reinvestor
1,2021,+,-,-,Reinvestor
1,2022,+,-,-,Shareholder Returns
1,2023,+,-,-,Reinvestor
1,2024,+,-,-,Reinvestor
2,2012,+,-,-,Reinvestor
2,2013,+,-,-,Shareholder Returns
2,2014,+,-,-,Reinvestor
2,2015,+,-,-,Reinvestor
2,2016,+,-,-,Shareholder Returns
2,2017,+,-,-,Reinvestor
2,2018,+,-,-,Reinvestor
2,2019,+,-,-,Shareholder Returns
2,2020,+,-,-,Reinvestor
2,2021,+,-,-,Reinvestor
2,2022,+,-,-,Shareholder Returns
2,2023,+,-,-,Reinvestor
2,2024,+,-,-,Reinvestor
3,2012,+,-,-,Reinvestor
3,2013,+,-,-,Shareholder Returns
3,2014,+,-,-,Reinvestor
3,2015,+,-,-,Reinvestor
3,2016,+,-,-,Shareholder Returns
3,2017,+,-,-,Reinvestor
3,2018,+,-,-,Reinvestor
3,2019,+,-,-,Shareholder Returns
3,2020,+,-,-,Reinvestor
3,2021,+,-,-,Reinvestor
3,2022,+,-,-,Shareholder Returns
3,2023,+,-,-,Reinvestor
3,2024,+,-,-,Reinvestor
4,2012,+,-,-,Reinvestor
4,2013,+,-,-,Shareholder Returns
4,2014,+,-,-,Reinvestor
4,2015,+,-,-,Reinvestor
4,2016,+,-,-,Shareholder Returns
4,2017,+,-,-,Reinvestor
4,2018,+,-,-,Reinvestor
4,2019,+,-,-,Shareholder Returns
4,2020,+,-,-,Reinvestor
4,2021,+,-,-,Reinvestor
4,2022,+,-,-,Shareholder Returns
4,2023,+,-,-,Reinvestor
4,2024,+,-,-,Reinvestor
5,2012,+,-,-,Reinvestor
5,2013,+,-,-,Shareholder Returns
5,2014,+,-,-,Reinvestor
5,2015,+,-,-,Reinvestor
5,2016,+,-,-,Shareholder Returns
5,2017,+,-,-,Reinvestor
5,2018,+,-,-,Reinvestor
