company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
7,Company 07,Technology,13.35,2.66,18.14,-0.03,11.63,-66.05,Discount
8,Company 08,Financial Services,17.72,12.72,10.54,0.03,16.76,-48.86,Discount
9,Company 09,Technology,13.67,12.76,23.61,-0.24,15.08,-65.23,Discount
13,Company 13,Technology,60.1,10.57,15.74,1.08,53.22,52.85,Caution
16,Company 16,Financial Services,52.04,11.25,9.01,7.67,57.93,50.19,Caution
17,Company 17,Technology,24.13,9.53,30.21,4.77,25.83,-38.63,Discount
18,Company 18,Financial Services,16.08,2.55,17.73,4.88,17.54,-53.59,Discount
19,Company 19,Technology,27.36,3.52,11.43,0.92,25.57,-30.42,Discount
20,Company 20,Financial Services,20.54,12.73,22.1,2.86,18.55,-40.72,Discount
21,Company 21,Technology,61.27,9.08,28.79,0.29,65.88,55.82,Caution
22,Company 22,Financial Services,54.83,1.61,13.83,7.02,59.88,58.24,Caution
24,Company 24,Financial Services,58.19,9.79,10.3,1.4,56.66,67.94,Caution
26,Company 26,Financial Services,21.89,3.51,22.35,-0.21,23.71,-36.83,Discount
27,Company 27,Technology,59.31,8.36,22.6,4.79,56.48,50.84,Caution
30,Company 30,Financial Services,59.49,4.3,34.35,-0.38,58.22,71.69,Caution
32,Company 32,Financial Services,17.83,4.47,16.72,5.93,19.19,-48.54,Discount
33,Company 33,Technology,24.08,5.57,29.47,10.4,21.21,-38.76,Discount
36,Company 36,Financial Services,57.62,12.12,10.12,-0.3,63.26,66.29,Caution
37,Company 37,Technology,12.37,9.72,8.68,1.07,11.7,-68.54,Discount
40,Company 40,Financial Services,23.77,6.1,26.79,0.85,20.28,-31.4,Discount
41,Company 41,Technology,18.35,4.82,19.04,4.71,20.58,-53.33,Discount
43,Company 43,Technology,61.97,13.66,12.22,-2.52,58.61,57.6,Caution
48,Company 48,Financial Services,63.5,7.78,15.56,0.22,62.52,83.26,Caution
49,Company 49,Technology,63.01,8.71,33.78,0.7,59.1,60.25,Caution
53,Company 53,Technology,27.1,5.01,19.33,-0.22,29.47,-31.08,Discount
54,Company 54,Financial Services,13.96,1.8,14.69,0.67,15.17,-59.71,Discount
57,Company 57,Technology,14.73,13.26,8.39,-1.16,12.77,-62.54,Discount
59,Company 59,Technology,60.14,12.94,9.24,11.86,59.09,52.95,Caution
61,Company 61,Technology,19.68,1.69,31.1,0.01,18.8,-49.95,Discount
63,Company 63,Technology,64.24,6.85,20.8,0.05,57.36,63.38,Caution
66,Company 66,Financial Services,52.37,12.16,20.78,0.38,46.1,51.14,Caution
67,Company 67,Technology,24.59,5.18,12.68,5.28,21.52,-37.46,Discount
73,Company 73,Technology,16.79,13.2,18.11,32.99,14.7,-57.3,Discount
74,Company 74,Financial Services,56.27,10.2,24.9,0.62,64.48,62.4,Caution
76,Company 76,Financial Services,21.89,2.71,31.13,0.87,21.04,-36.83,Discount
77,Company 77,Technology,14.16,9.19,25.78,1.11,15.49,-63.99,Discount
80,Company 80,Financial Services,12.88,7.98,25.35,-0.11,13.86,-62.83,Discount
82,Company 82,Financial Services,24.0,10.76,23.82,0.32,21.0,-30.74,Discount
84,Company 84,Financial Services,21.24,10.28,23.54,-0.73,21.61,-38.7,Discount
87,Company 87,Technology,61.65,11.62,20.37,1.02,54.46,56.79,Caution
88,Company 88,Financial Services,19.29,11.63,22.73,0.54,19.25,-44.33,Discount
90,Company 90,Financial Services,18.01,12.92,18.42,3.62,17.84,-48.02,Discount
91,Company 91,Technology,61.01,7.89,33.95,8.51,52.89,55.16,Caution
92,Company 92,Financial Services,58.5,7.77,32.44,1.5,51.81,68.83,Caution
