fund_name,alpha,beta,r_squared
Fund_01,-0.0044,0.73,0.91
Fund_02,-0.0017,0.88,0.82
Fund_03,0.0585,0.82,0.76
Fund_04,0.0608,0.88,0.85
Fund_05,0.0463,0.89,0.79
Fund_06,0.0722,0.75,0.82
Fund_07,0.0343,0.78,0.98
Fund_08,0.0529,1.16,0.78
Fund_09,0.0125,1.14,0.86
Fund_10,0.0294,1.01,0.77
Fund_11,0.0049,0.95,0.77
Fund_12,0.0671,1.18,0.87
Fund_13,0.0227,1.19,0.87
Fund_14,0.0123,1.01,0.97
Fund_15,-0.0163,1.07,0.81
Fund_16,0.0042,1.1,0.92
Fund_17,0.0635,0.89,0.89
Fund_18,-0.0026,1.11,0.78
Fund_19,0.046,1.19,0.81
Fund_20,0.0149,1.14,0.93
Fund_21,-0.0191,0.76,0.79
Fund_22,0.0037,0.9,0.95
Fund_23,0.0044,1.28,0.9
Fund_24,0.0522,0.87,0.79
Fund_25,0.0728,0.96,0.95
Fund_26,0.0357,1.26,0.77
Fund_27,0.0541,1.12,0.82
Fund_28,0.0302,1.18,0.93
Fund_29,-0.0164,0.98,0.89
Fund_30,0.0322,1.16,0.77
Fund_31,0.0776,1.01,0.81
Fund_32,0.0496,0.95,0.81
Fund_33,0.0538,1.03,0.81
Fund_34,-0.0159,1.21,0.77
Fund_35,0.0416,1.08,0.89
Fund_36,0.0442,0.72,0.88
Fund_37,0.0186,1.28,0.77
Fund_38,0.0119,1.21,0.81
Fund_39,0.0603,0.87,0.94
Fund_40,0.0731,1.22,0.92
