fund_name,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,expense_ratio,score
Fund_01,0.1437,0.2141,0.1786,1.82,1.43,-0.0044,0.73,-0.0768,0.0152,61.5
Fund_02,0.0835,0.2164,0.1866,1.16,1.48,-0.0017,0.88,-0.145,0.0123,49.5
Fund_03,0.184,0.1167,0.1434,1.42,2.06,0.0585,0.82,-0.1472,0.0151,41.25
Fund_04,0.1833,0.1205,0.1252,2.41,3.13,0.0608,0.88,-0.2305,0.0166,53.62
Fund_05,0.1007,0.1594,0.1228,2.35,1.64,0.0463,0.89,-0.146,0.0143,62.31
Fund_06,0.2448,0.193,0.1952,2.32,2.36,0.0722,0.75,-0.2108,0.0058,79.75
Fund_07,0.1461,0.1326,0.1863,1.41,1.69,0.0343,0.78,-0.0896,0.0063,50.31
Fund_08,0.2113,0.1238,0.1204,2.19,2.58,0.0529,1.16,-0.2352,0.0111,52.69
Fund_09,0.2267,0.1748,0.1465,0.91,1.75,0.0125,1.14,-0.1225,0.0201,32.94
Fund_10,0.1003,0.1856,0.1809,1.75,2.72,0.0294,1.01,-0.1645,0.0054,63.75
Fund_11,0.0853,0.1764,0.1451,1.66,3.01,0.0049,0.95,-0.0989,0.0089,56.62
Fund_12,0.1293,0.1193,0.1944,2.17,2.43,0.0671,1.18,-0.2127,0.0202,46.56
Fund_13,0.2173,0.2075,0.1454,0.99,1.58,0.0227,1.19,-0.0779,0.0051,59.81
Fund_14,0.151,0.1267,0.1296,1.37,3.08,0.0123,1.01,-0.1094,0.0112,38.88
Fund_15,0.2436,0.1302,0.1598,1.31,1.7,-0.0163,1.07,-0.1495,0.0059,34.25
Fund_16,0.2344,0.1287,0.1316,1.63,3.17,0.0042,1.1,-0.0977,0.009,44.5
Fund_17,0.1425,0.1759,0.1707,1.71,1.29,0.0635,0.89,-0.2127,0.0057,65.25
Fund_18,0.1952,0.102,0.161,1.19,2.45,-0.0026,1.11,-0.1727,0.0209,12.5
Fund_19,0.138,0.1136,0.194,2.29,1.64,0.046,1.19,-0.139,0.014,50.69
Fund_20,0.0958,0.2077,0.192,1.88,1.81,0.0149,1.14,-0.0706,0.0201,63.0
Fund_21,0.1891,0.1101,0.1329,2.33,2.37,-0.0191,0.76,-0.1173,0.0051,47.69
Fund_22,0.1733,0.183,0.1722,1.18,2.6,0.0037,0.9,-0.1007,0.016,41.44
Fund_23,0.1918,0.1682,0.1275,1.43,1.66,0.0044,1.28,-0.1714,0.0202,36.38
Fund_24,0.2151,0.1603,0.1662,1.64,1.51,0.0522,0.87,-0.2451,0.016,46.81
Fund_25,0.2399,0.2145,0.1932,1.43,1.13,0.0728,0.96,-0.0567,0.0214,67.56
Fund_26,0.1301,0.1462,0.1881,1.34,1.46,0.0357,1.26,-0.1108,0.0147,43.38
Fund_27,0.1846,0.2188,0.1312,1.68,2.94,0.0541,1.12,-0.1095,0.0111,76.19
Fund_28,0.2176,0.1972,0.1894,2.35,2.17,0.0302,1.18,-0.12,0.0169,68.06
Fund_29,0.2313,0.1406,0.15,0.96,2.31,-0.0164,0.98,-0.1415,0.0099,29.0
Fund_30,0.0852,0.1045,0.1858,1.41,1.37,0.0322,1.16,-0.2068,0.0156,28.81
Fund_31,0.0888,0.1638,0.1633,1.88,2.62,0.0776,1.01,-0.1854,0.0185,58.69
Fund_32,0.1546,0.1094,0.122,2.44,2.86,0.0496,0.95,-0.2153,0.0077,54.75
Fund_33,0.1734,0.1858,0.1728,1.28,3.11,0.0538,1.03,-0.1277,0.0121,57.5
Fund_34,0.1405,0.1909,0.1212,1.0,1.2,-0.0159,1.21,-0.1093,0.0131,43.12
Fund_35,0.1636,0.1568,0.1339,1.54,1.94,0.0416,1.08,-0.2409,0.0114,45.75
Fund_36,0.1655,0.2028,0.1727,1.08,1.25,0.0442,0.72,-0.1328,0.021,46.5
Fund_37,0.146,0.1772,0.1567,1.73,3.08,0.0186,1.28,-0.0689,0.0083,63.62
Fund_38,0.0971,0.1022,0.1276,1.96,1.25,0.0119,1.21,-0.2453,0.0188,28.25
Fund_39,0.1001,0.1836,0.1703,2.29,2.64,0.0603,0.87,-0.2145,0.0178,63.5
Fund_40,0.2484,0.1495,0.1498,2.12,1.82,0.0731,1.22,-0.1642,0.0178,58.31
