fund_name,VaR_95,CVaR_95
Fund_01,-0.0222,-0.0281
Fund_02,-0.0229,-0.0287
Fund_03,-0.0224,-0.0289
Fund_04,-0.0235,-0.0308
Fund_05,-0.0228,-0.0288
Fund_06,-0.0233,-0.0306
Fund_07,-0.0258,-0.0318
Fund_08,-0.0263,-0.0303
Fund_09,-0.027,-0.0332
Fund_10,-0.0238,-0.0327
Fund_11,-0.0232,-0.0284
Fund_12,-0.0258,-0.033
Fund_13,-0.0227,-0.029
Fund_14,-0.0258,-0.0313
Fund_15,-0.0262,-0.0324
Fund_16,-0.0233,-0.0311
Fund_17,-0.026,-0.0331
Fund_18,-0.0235,-0.0282
Fund_19,-0.025,-0.0288
Fund_20,-0.0227,-0.0299
Fund_21,-0.0219,-0.0287
Fund_22,-0.0245,-0.0318
Fund_23,-0.0239,-0.0316
Fund_24,-0.0244,-0.0329
Fund_25,-0.0223,-0.0288
Fund_26,-0.0233,-0.0293
Fund_27,-0.0227,-0.0282
Fund_28,-0.0263,-0.0327
Fund_29,-0.0233,-0.0302
Fund_30,-0.0244,-0.0314
Fund_31,-0.0245,-0.0317
Fund_32,-0.0231,-0.0333
Fund_33,-0.0225,-0.0304
Fund_34,-0.0216,-0.0272
Fund_35,-0.0259,-0.0308
Fund_36,-0.0234,-0.0307
Fund_37,-0.0253,-0.0313
Fund_38,-0.0234,-0.0277
Fund_39,-0.0227,-0.0297
Fund_40,-0.0245,-0.0317
